"Time.to.resolution","year","quarter","area"
5,2016,"Q2","N"
5,2016,"Q2",NA
6,2016,"Q2","LSU"
6,2016,"Q2","D"
6,2016,"Q2","W"
0,2016,"Q2","W"
4,2016,"Q2","W"
0,2016,"Q2","W"
4,2016,"Q2","W"
4,2016,"Q2",NA
4,2016,"Q2","N"
4,2016,"Q2","N"
5,2016,"Q2","N"
7,2016,"Q2","N"
4,2016,"Q2","W"
5,2016,"Q2","D"
3,2016,"Q2","D"
4,2016,"Q2","N"
3,2016,"Q2","W"
4,2016,"Q2","W"
3,2016,"Q2",NA
3,2016,"Q2","W"
3,2016,"Q2","D"
3,2016,"Q2","D"
3,2016,"Q2","D"
5,2016,"Q2",NA
4,2016,"Q2","W"
4,2016,"Q2",NA
4,2016,"Q2","N"
4,2016,"Q2","D"
4,2016,"Q2","D"
5,2016,"Q2","W"
5,2016,"Q2","W"
4,2016,"Q2","W"
7,2016,"Q2","N"
2,2016,"Q2","W"
2,2016,"Q2","LSU"
2,2016,"Q2",NA
2,2016,"Q2","D"
6,2016,"Q2",NA
3,2016,"Q2","W"
4,2016,"Q2","D"
7,2016,"Q2",NA
6,2016,"Q2","W"
6,2016,"Q2","W"
6,2016,"Q2","D"
0,2016,"Q2","W"
5,2016,"Q2",NA
5,2016,"Q2",NA
5,2016,"Q2","W"
5,2016,"Q2","W"
5,2016,"Q2","W"
5,2016,"Q2","W"
5,2016,"Q2",NA
7,2016,"Q2","D"
7,2016,"Q2","W"
6,2016,"Q2","N"
6,2016,"Q2","LSU"
7,2016,"Q2","N"
7,2016,"Q2","D"
5,2016,"Q2","LSU"
6,2016,"Q2","W"
4,2016,"Q2","LSU"
5,2016,"Q2","N"
5,2016,"Q2",NA
7,2016,"Q2","D"
5,2016,"Q2",NA
6,2016,"Q2","W"
5,2016,"Q2","D"
6,2016,"Q2","W"
6,2016,"Q2","D"
9,2016,"Q2","W"
10,2016,"Q2","W"
9,2016,"Q2","W"
9,2016,"Q2",NA
6,2016,"Q2",NA
6,2016,"Q2",NA
6,2016,"Q2","W"
6,2016,"Q2","D"
3,2016,"Q2","W"
6,2016,"Q2","LSU"
6,2016,"Q2","D"
6,2016,"Q2",NA
9,2016,"Q2","D"
6,2016,"Q2","W"
6,2016,"Q2","LSU"
6,2016,"Q2","LSU"
7,2016,"Q2","LSU"
6,2016,"Q2","W"
6,2016,"Q2",NA
9,2016,"Q2","D"
9,2016,"Q2","LSU"
7,2016,"Q2","W"
7,2016,"Q2","LSU"
7,2016,"Q2","W"
7,2016,"Q2",NA
6,2016,"Q2","W"
8,2016,"Q2",NA
6,2016,"Q2","N"
4,2016,"Q2","W"
6,2016,"Q2","D"
7,2016,"Q2","D"
6,2016,"Q2","D"
7,2016,"Q2","D"
5,2016,"Q2","W"
7,2016,"Q2","D"
5,2016,"Q2","W"
5,2016,"Q2",NA
5,2016,"Q2",NA
5,2016,"Q2","D"
7,2016,"Q2",NA
7,2016,"Q2",NA
6,2016,"Q2","W"
5,2016,"Q2","D"
5,2016,"Q2",NA
6,2016,"Q2","W"
11,2016,"Q2","W"
11,2016,"Q2",NA
3,2016,"Q2","N"
7,2016,"Q2","LSU"
6,2016,"Q2","W"
6,2016,"Q2","D"
3,2016,"Q2","N"
7,2016,"Q2","LSU"
3,2016,"Q2","D"
7,2016,"Q2",NA
7,2016,"Q2","LSU"
7,2016,"Q2",NA
3,2016,"Q2","N"
6,2016,"Q2","D"
7,2016,"Q2",NA
7,2016,"Q2","W"
7,2016,"Q2","LSU"
7,2016,"Q2","W"
7,2016,"Q2","LSU"
7,2016,"Q2",NA
7,2016,"Q2",NA
8,2016,"Q2","W"
8,2016,"Q2","W"
7,2016,"Q2","D"
7,2016,"Q2","D"
5,2016,"Q2","D"
5,2016,"Q2","W"
6,2016,"Q2",NA
5,2016,"Q2","D"
6,2016,"Q2","W"
6,2016,"Q2","W"
5,2016,"Q2","D"
6,2016,"Q2","LSU"
5,2016,"Q2","W"
5,2016,"Q2","W"
6,2016,"Q2","D"
7,2016,"Q2","W"
